,index,energy,energy_error,gradient_error
46,46,-22331.21825511,4.6e-05,0.0016
47,47,-22331.21831743,6.2e-05,0.0016
48,48,-22331.21834841,3.1e-05,0.0012
49,49,-22331.21837883,3e-05,0.0015
50,50,-22331.21841758,3.9e-05,0.0014
51,51,-22331.21844016,2.3e-05,0.0011
52,52,-22331.21845992,2e-05,0.0011
53,53,-22331.21848295,2.3e-05,0.00094
54,54,-22331.21850837,2.5e-05,0.001
55,55,-22331.21853671,2.8e-05,0.0011
56,56,-22331.21855724,2.1e-05,0.00092
57,57,-22331.21857603,1.9e-05,0.00096
58,58,-22331.21859745,2.1e-05,0.0011
59,59,-22331.21863036,3.3e-05,0.0011
60,60,-22331.21867067,4e-05,0.00088
61,61,-22331.21871236,4.2e-05,0.0013
62,62,-22331.21874372,3.1e-05,0.0015
63,63,-22331.21878079,3.7e-05,0.0015
64,64,-22331.21884881,6.8e-05,0.0015
65,65,-22331.2189258,7.7e-05,0.002
66,66,-22331.21901235,8.7e-05,0.0022
67,0,-22331.219066,5.4e-05,0.0016
68,1,-22331.21910944,4.3e-05,0.0014
69,2,-22331.21917275,6.3e-05,0.0015
70,3,-22331.21925402,8.1e-05,0.002
71,4,-22331.21929842,4.4e-05,0.0019
72,5,-22331.21934705,4.9e-05,0.0016
73,6,-22331.21940206,5.5e-05,0.0014
74,7,-22331.21945935,5.7e-05,0.0016
75,8,-22331.21954254,8.3e-05,0.0018
76,9,-22331.2196772,0.00013,0.002
77,10,-22331.21980234,0.00013,0.0046
78,11,-22331.22000051,0.0002,0.0038
79,12,-22331.22024171,0.00024,0.013
80,13,-22331.21918911,0.0011,0.039
81,14,-22331.22041392,0.00017,0.014
82,15,-22331.22112497,0.00071,0.011
83,16,-22331.22183721,0.00071,0.017
84,17,-22331.22334512,0.0015,0.023
85,18,-22331.22554494,0.0022,0.036
86,19,-22331.2276559,0.0021,0.042
87,20,-22331.23111484,0.0035,0.029
88,21,-22331.23324286,0.0021,0.015
89,22,-22331.23647806,0.0032,0.027
90,23,-22331.23854632,0.0021,0.0097
91,24,-22331.24027589,0.0017,0.0099
92,25,-22331.24158079,0.0013,0.0098
93,26,-22331.24295087,0.0014,0.0083
94,27,-22331.244333,0.0014,0.011
95,28,-22331.24510206,0.00077,0.0078
96,29,-22331.24560224,0.0005,0.013
97,30,-22331.24609568,0.00049,0.0098
98,31,-22331.24663582,0.00054,0.0085
99,32,-22331.24710629,0.00047,0.0058
100,33,-22331.24747759,0.00037,0.0068
101,34,-22331.24785493,0.00038,0.004
102,35,-22331.24831883,0.00046,0.0042
103,36,-22331.24863131,0.00031,0.0063
104,37,-22331.24886418,0.00023,0.004
105,38,-22331.24913915,0.00027,0.0047
106,39,-22331.24944246,0.0003,0.0032
107,40,-22331.2497447,0.0003,0.0042
108,41,-22331.25008483,0.00034,0.0044
109,42,-22331.25054319,0.00046,0.0042
110,43,-22331.25097174,0.00043,0.007
111,44,-22331.25143245,0.00046,0.0053
112,45,-22331.25192349,0.00049,0.0055
113,46,-22331.25247981,0.00056,0.0055
114,47,-22331.25313144,0.00065,0.0056
115,48,-22331.25383856,0.00071,0.017
116,49,-22331.25454467,0.00071,0.009
117,50,-22331.2552578,0.00071,0.016
118,51,-22331.25587922,0.00062,0.0059
119,52,-22331.25641485,0.00054,0.0046
120,53,-22331.25681502,0.0004,0.0029
121,54,-22331.25707377,0.00026,0.0037
122,55,-22331.25727085,0.0002,0.0068
123,56,-22331.25744562,0.00017,0.0033
124,57,-22331.25763074,0.00019,0.0053
125,58,-22331.25776223,0.00013,0.0024
126,59,-22331.25796205,0.0002,0.0026
127,60,-22331.25814422,0.00018,0.0028
128,61,-22331.25829165,0.00015,0.0024
129,62,-22331.25841329,0.00012,0.0041
130,63,-22331.25851705,0.0001,0.0041
131,64,-22331.25864646,0.00013,0.0029
132,65,-22331.25874448,9.8e-05,0.0023
133,66,-22331.25885065,0.00011,0.0015
134,67,-22331.25893849,8.8e-05,0.0017
135,68,-22331.2590072,6.9e-05,0.0016
136,69,-22331.25909372,8.7e-05,0.0013
137,70,-22331.259211,0.00012,0.0016
138,71,-22331.25928339,7.2e-05,0.0016
139,72,-22331.25934486,6.1e-05,0.0029
140,73,-22331.25941022,6.5e-05,0.0031
141,74,-22331.2594814,7.1e-05,0.0022
142,75,-22331.25953565,5.4e-05,0.0014
143,76,-22331.25958933,5.4e-05,0.0013
144,77,-22331.25962889,4e-05,0.0015
145,78,-22331.25966849,4e-05,0.0025
146,79,-22331.25972798,5.9e-05,0.0026
147,80,-22331.25978402,5.6e-05,0.0022
148,81,-22331.25982022,3.6e-05,0.0017
149,82,-22331.25986207,4.2e-05,0.0013
150,83,-22331.25989969,3.8e-05,0.0019
151,84,-22331.25993955,4e-05,0.0018
152,85,-22331.25998354,4.4e-05,0.0016
153,86,-22331.26003415,5.1e-05,0.0014
154,87,-22331.26009289,5.9e-05,0.0017
155,88,-22331.26014749,5.5e-05,0.0019
156,89,-22331.26020128,5.4e-05,0.0011
157,90,-22331.26023567,3.4e-05,0.0011
158,91,-22331.26027651,4.1e-05,0.0019
159,92,-22331.26031781,4.1e-05,0.0015
160,93,-22331.26036657,4.9e-05,0.0011
161,94,-22331.26041513,4.9e-05,0.00098
162,0,-22331.26047398,0.0,0.0013
163,1,-22331.26049339,1.9e-05,0.0013
164,2,-22331.26051326,2e-05,0.00095
165,3,-22331.26053873,2.5e-05,0.0018
166,4,-22331.26056743,2.9e-05,0.0022
167,5,-22331.26059738,3e-05,0.0013
168,6,-22331.26062127,2.4e-05,0.0011
169,7,-22331.26064918,2.8e-05,0.0011
170,8,-22331.2606867,3.8e-05,0.0011
171,9,-22331.2607299,4.3e-05,0.0015
172,10,-22331.26076142,3.2e-05,0.0017
173,11,-22331.26077916,1.8e-05,0.00077
174,12,-22331.26079773,1.9e-05,0.00094
175,13,-22331.2608216,2.4e-05,0.0017
176,14,-22331.26084702,2.5e-05,0.0015
177,15,-22331.26088286,3.6e-05,0.0026
178,16,-22331.26092336,4e-05,0.0018
179,17,-22331.26096347,4e-05,0.0012
180,18,-22331.26100277,3.9e-05,0.0022
181,19,-22331.26105729,5.5e-05,0.002
182,20,-22331.26112697,7e-05,0.0023
183,21,-22331.26118893,6.2e-05,0.0023
184,22,-22331.26124407,5.5e-05,0.0015
185,23,-22331.26128431,4e-05,0.0013
186,24,-22331.26133199,4.8e-05,0.0013
187,25,-22331.2613903,5.8e-05,0.0016
188,26,-22331.26145321,6.3e-05,0.003
189,27,-22331.26154093,8.8e-05,0.0019
190,28,-22331.26164386,0.0001,0.0022
191,29,-22331.26173373,9e-05,0.0025
